# # phys. ordernr ; pixel ; wavelength(A)
28;377;7861.910
28;579;7891.075
28;1219;7978.973
29;214;7567.742
29;367;7589.315
29;959;7670.058
29;1228;7704.817
29;1695;7762.732
29;1914;7788.934
29;2845;7891.075
30;188;7311.716
30;219;7316.005
30;493;7353.293
30;635;7372.118
30;944;7412.337
30;1046;7425.294
30;1128;7435.368
30;1287;7455.208
30;1418;7471.164
30;2092;7549.314
30;2262;7567.742
30;2464;7589.315
30;3043;7647.379
31;252;7084.169
31;428;7107.478
31;569;7125.820
31;910;7168.895
31;1223;7206.980
31;1416;7229.939
31;1447;7233.537
31;1904;7284.903
31;2149;7311.716
31;2190;7316.005
31;2430;7341.152
31;2551;7353.293
31;2741;7372.118
31;3168;7412.337
32;37;6834.925
32;240;6861.269
32;318;6871.289
32;635;6911.226
32;966;6951.478
32;1291;6989.655
32;1388;7000.804
32;1546;7018.567
32;2158;7084.169
32;2388;7107.478
32;2574;7125.820
32;3034;7168.895
33;164;6643.698
33;313;6662.269
33;345;6666.359
33;434;6677.282
33;491;6684.293
33;611;6698.876
33;782;6719.218
33;852;6727.458
33;1191;6766.612
33;1313;6780.125
33;1412;6791.235
33;1662;6818.260
33;1746;6827.249
33;1819;6834.925
33;2076;6861.269
33;2259;6879.582
33;2588;6911.226
33;2875;6937.664
33;3031;6951.478
34;238;6457.282
34;315;6466.553
34;453;6483.083
34;518;6490.737
34;703;6512.364
34;868;6531.342
34;927;6538.112
34;1070;6554.160
34;1280;6577.214
34;1539;6604.853
34;1802;6632.084
34;1916;6643.698
34;2104;6662.269
34;2146;6666.359
34;2333;6684.293
34;2488;6698.876
34;2711;6719.218
34;2804;6727.458
34;3099;6752.833
34;3265;6766.612
35;143;6261.418
35;250;6274.117
35;445;6296.872
35;539;6307.657
35;851;6342.859
35;904;6348.737
35;970;6355.910
35;1052;6364.894
35;1096;6369.575
35;1118;6371.844
35;1164;6376.931
35;1237;6384.717
35;1411;6403.013
35;1444;6406.446
35;1497;6411.899
35;1691;6431.555
35;2048;6466.553
35;2222;6483.083
35;2304;6490.737
35;2542;6512.364
35;2758;6531.342
35;2837;6538.112
35;3028;6554.160
35;3315;6577.214
36;150;6088.030
36;172;6090.785
36;242;6098.803
36;383;6114.923
36;657;6145.441
36;717;6151.993
36;747;6155.238
36;882;6169.822
36;1053;6188.125
36;1089;6191.905
36;1149;6198.223
36;1200;6203.493
36;1236;6207.220
36;1288;6212.503
36;1321;6215.938
36;1405;6224.527
36;1508;6234.855
36;1591;6243.120
36;1645;6248.405
36;1778;6261.418
36;1911;6274.117
36;2155;6296.872
36;2273;6307.657
36;2674;6342.859
36;2742;6348.737
36;2829;6355.910
36;2938;6364.894
36;2996;6369.575
36;3026;6371.844
36;3088;6376.931
36;3187;6384.717
37;48;5912.085
37;196;5928.813
37;285;5938.825
37;321;5942.668
37;338;5944.647
37;604;5973.665
37;732;5987.302
37;767;5991.007
37;797;5994.129
37;843;5998.999
37;1055;6021.036
37;1095;6025.150
37;1332;6049.051
37;1734;6088.030
37;1763;6090.785
37;1849;6098.803
37;2367;6145.441
37;2443;6151.993
37;2482;6155.238
37;2656;6169.822
37;2810;6182.622
37;2926;6191.905
37;3006;6198.223
37;3073;6203.493
37;3122;6207.220
37;3191;6212.503
37;3237;6215.938
38;85;5760.551
38;190;5772.114
38;352;5789.645
38;457;5800.829
38;488;5804.141
38;570;5812.972
38;595;5815.422
38;758;5832.370
38;776;5834.263
38;1033;5860.310
38;1067;5863.718
38;1258;5882.624
38;1593;5914.671
38;1745;5928.813
38;1854;5938.825
38;1897;5942.668
38;1919;5944.647
38;2249;5973.665
38;2409;5987.302
38;2454;5991.007
38;2491;5994.129
38;2550;5998.999
38;2824;6021.036
38;2876;6025.150
38;2966;6032.127
38;3113;6043.223
38;3192;6049.051
38;3334;6059.373
39;27;5606.733
39;444;5650.704
39;584;5665.180
39;701;5677.053
39;749;5681.900
39;847;5691.661
39;939;5700.917
39;1003;5707.103
39;1191;5725.388
39;1340;5739.519
39;1365;5741.829
39;1484;5753.026
39;1649;5768.181
39;1694;5772.114
39;1714;5773.946
39;1889;5789.645
39;2018;5800.829
39;2158;5812.972
39;2188;5815.422
39;2392;5832.370
39;2415;5834.263
39;2741;5860.310
39;2785;5863.718
39;3035;5882.624
39;3116;5888.584
40;311;5495.874
40;344;5499.255
40;411;5506.113
40;449;5509.994
40;497;5514.873
40;598;5524.957
40;743;5539.262
40;835;5548.176
40;895;5554.070
40;1161;5579.358
40;1330;5595.063
40;1356;5597.476
40;1552;5615.319
40;1958;5650.704
40;2130;5665.180
40;2274;5677.053
40;2334;5681.900
40;2456;5691.661
40;2572;5700.917
40;2653;5707.103
40;2826;5720.183
40;2896;5725.388
40;3090;5739.519
40;3124;5741.829
41;131;5343.581
41;443;5374.822
41;485;5379.110
41;562;5386.611
41;601;5390.440
41;646;5394.761
41;778;5407.653
41;812;5410.769
41;884;5417.486
41;925;5421.352
41;1029;5431.112
41;1125;5439.989
41;1317;5457.416
41;1795;5499.255
41;1876;5506.113
41;1923;5509.994
41;1981;5514.873
41;2104;5524.957
41;2282;5539.262
41;2396;5548.176
41;2471;5554.070
41;2531;5558.702
41;2808;5579.358
41;2913;5587.026
41;3026;5595.063
41;3061;5597.476
41;3195;5606.733
42;280;5231.160
42;450;5247.655
42;504;5252.788
42;562;5258.360
42;650;5266.710
42;969;5296.279
42;1017;5300.523
42;1204;5317.495
42;1311;5326.976
42;1502;5343.581
42;1697;5360.150
42;1726;5362.575
42;1875;5374.822
42;1926;5379.110
42;1991;5384.301
42;2019;5386.611
42;2067;5390.440
42;2121;5394.761
42;2284;5407.653
42;2325;5410.769
42;2414;5417.486
42;2465;5421.352
42;2596;5431.112
42;2717;5439.989
42;2963;5457.416
43;83;5090.545
43;338;5115.045
43;452;5125.765
43;623;5141.783
43;662;5145.308
43;729;5151.612
43;759;5154.243
43;807;5158.604
43;848;5162.285
43;887;5165.773
43;1227;5195.814
43;1265;5199.164
43;1406;5211.230
43;1500;5219.110
43;1525;5221.271
43;1847;5247.655
43;1911;5252.788
